id;name;country;age;position;foot;signed;contract_until;value
1;Massachusetts Borders Bacon;Angola;39196;MD;RIGHT;2021-09-14T11:49:31;2021-09-13T22:52:13;79254
2;relationships mobile;Puerto Rico;87167;MD;LEFT;2021-09-14T14:30:13;2021-09-13T22:47:05;45757
3;Account Incredible;Cameroon;78158;POR;LEFT;2021-09-14T15:36:42;2021-09-14T05:42:35;15029
4;Delaware Louisiana generation;Portugal;82428;MI;BOTH;2021-09-14T00:38:21;2021-09-14T11:12:01;86936
5;Garden reinvent incubate;Maldives;59242;LD;RIGHT;2021-09-13T21:29:07;2021-09-14T17:52:03;7897
6;Security;Nicaragua;76603;MC;LEFT;2021-09-14T12:56:09;2021-09-14T02:47:20;64808
7;RAM intuitive bus;Ethiopia;15066;MC;RIGHT;2021-09-14T10:11:53;2021-09-14T00:28:53;90760
8;Internal;Syrian Arab Republic;34275;MI;RIGHT;2021-09-14T08:46:57;2021-09-13T21:20:37;45981
9;Verde Fantastic Soft;Portugal;26580;DFC;LEFT;2021-09-13T23:35:57;2021-09-14T19:05:52;43708
10;Multi-channelled Branding;Cook Islands;62675;MD;LEFT;2021-09-14T08:03:08;2021-09-14T01:29:15;17809
